URL,Path,Title,Title Length,Description,Description Length,H1 Count,H1 Text,Has Schema,Schema Types,Has Open Graph,Has Canonical,Canonical URL,Response Time (ms),HTML Size (bytes),Word Count,Internal Links,External Links,Total Images,Images with Alt,Images Missing Alt,Lazy Loaded Images
https://concerts.morperhaus.org/,/,Morperhaus Concert Archives,27,"A visual love letter to 5+ decades of live music. 179 concerts from 1984-2026, featuring 254 artists across 77 venues. Explored through interactive timelines, maps, and network graphs.",184,0,,Yes,,Yes,Yes,https://concerts.morperhaus.org/,529,7390,0,0,0,0,0,0,0
https://concerts.morperhaus.org/?scene=timeline,/?scene=timeline,Morperhaus Concert Archives,27,"A visual love letter to 5+ decades of live music. 179 concerts from 1984-2026, featuring 254 artists across 77 venues. Explored through interactive timelines, maps, and network graphs.",184,0,,Yes,,Yes,Yes,https://concerts.morperhaus.org/?scene=timeline,525,7390,0,0,0,0,0,0,0
https://concerts.morperhaus.org/?scene=venues,/?scene=venues,Morperhaus Concert Archives,27,"A visual love letter to 5+ decades of live music. 179 concerts from 1984-2026, featuring 254 artists across 77 venues. Explored through interactive timelines, maps, and network graphs.",184,0,,Yes,,Yes,Yes,https://concerts.morperhaus.org/?scene=venues,517,7390,0,0,0,0,0,0,0
https://concerts.morperhaus.org/?scene=geography,/?scene=geography,Morperhaus Concert Archives,27,"A visual love letter to 5+ decades of live music. 179 concerts from 1984-2026, featuring 254 artists across 77 venues. Explored through interactive timelines, maps, and network graphs.",184,0,,Yes,,Yes,Yes,https://concerts.morperhaus.org/?scene=geography,523,7390,0,0,0,0,0,0,0
https://concerts.morperhaus.org/?scene=genres,/?scene=genres,Morperhaus Concert Archives,27,"A visual love letter to 5+ decades of live music. 179 concerts from 1984-2026, featuring 254 artists across 77 venues. Explored through interactive timelines, maps, and network graphs.",184,0,,Yes,,Yes,Yes,https://concerts.morperhaus.org/?scene=genres,525,7390,0,0,0,0,0,0,0
https://concerts.morperhaus.org/?scene=artists,/?scene=artists,Morperhaus Concert Archives,27,"A visual love letter to 5+ decades of live music. 179 concerts from 1984-2026, featuring 254 artists across 77 venues. Explored through interactive timelines, maps, and network graphs.",184,0,,Yes,,Yes,Yes,https://concerts.morperhaus.org/?scene=artists,526,7390,0,0,0,0,0,0,0
https://concerts.morperhaus.org/?scene=artists&artist=depeche-mode,/?scene=artists&artist=depeche-mode,Depeche Mode - Morperhaus Concert Archives,42,"5 concerts from 1985-2023. Explore setlists, tour history, and venue details for Depeche Mode.",94,0,,Yes,,Yes,Yes,https://concerts.morperhaus.org/?scene=artists&artist=depeche-mode,524,7244,0,0,0,0,0,0,0
https://concerts.morperhaus.org/?scene=artists&artist=nine-inch-nails,/?scene=artists&artist=nine-inch-nails,Morperhaus Concert Archives,27,"A visual love letter to 5+ decades of live music. 179 concerts from 1984-2026, featuring 254 artists across 77 venues. Explored through interactive timelines, maps, and network graphs.",184,0,,Yes,,Yes,Yes,https://concerts.morperhaus.org/?scene=artists&artist=nine-inch-nails,523,7390,0,0,0,0,0,0,0
https://concerts.morperhaus.org/?scene=venues&venue=hollywood-bowl,/?scene=venues&venue=hollywood-bowl,Hollywood Bowl - Morperhaus Concert Archives,44,"4 concerts at Hollywood Bowl in Hollywood, California. Featured artists: New Order, Danny Elfman, The Cure.",107,0,,Yes,,Yes,Yes,https://concerts.morperhaus.org/?scene=venues&venue=hollywood-bowl,531,7231,0,0,0,0,0,0,0
https://concerts.morperhaus.org/?scene=venues&venue=forum,/?scene=venues&venue=forum,Morperhaus Concert Archives,27,"A visual love letter to 5+ decades of live music. 179 concerts from 1984-2026, featuring 254 artists across 77 venues. Explored through interactive timelines, maps, and network graphs.",184,0,,Yes,,Yes,Yes,https://concerts.morperhaus.org/?scene=venues&venue=forum,517,7390,0,0,0,0,0,0,0
https://concerts.morperhaus.org/?scene=genres&genre=industrial,/?scene=genres&genre=industrial,Morperhaus Concert Archives,27,"A visual love letter to 5+ decades of live music. 179 concerts from 1984-2026, featuring 254 artists across 77 venues. Explored through interactive timelines, maps, and network graphs.",184,0,,Yes,,Yes,Yes,https://concerts.morperhaus.org/?scene=genres&genre=industrial,524,7390,0,0,0,0,0,0,0
https://concerts.morperhaus.org/?scene=geography&region=losangeles,/?scene=geography&region=losangeles,Morperhaus Concert Archives,27,"A visual love letter to 5+ decades of live music. 179 concerts from 1984-2026, featuring 254 artists across 77 venues. Explored through interactive timelines, maps, and network graphs.",184,0,,Yes,,Yes,Yes,https://concerts.morperhaus.org/?scene=geography&region=losangeles,525,7390,0,0,0,0,0,0,0
